83	180.1
66.5	176.1
73.7	178.5
74.8	183.9
78	171.7
75.6	174.5
72.3	175.5
76.9	175.4
82.4	182.3
78.1	178.6
80.2	183
81.4	181.4
81.9	172.3
72.6	181.9
74.4	177.2
73.8	178.6
68.9	171
73.6	175.3
81.2	178
85.4	186.7
75.7	187.3
70.8	182.3
85.9	185.5
75.4	177.1
81.6	178.1
76.5	184.1
84.5	186.8
67.6	174.8
84.9	185.4
71.5	177.1
80.4	180.7
73.8	171.9
63.4	173.4
88.5	188
81.4	178.5
74.6	185
87.8	186.5
82	189.1
78.4	183.7
81.6	180
73.8	175.5
77.9	174.6
72.9	170.3
86.9	184.6
77.8	175
69.2	173.2
70.3	170.3
76.6	179.7
64.7	172.1
84.9	186
70.1	177.1
85.2	188.7
67.6	174.9
74.8	179.5
66	173.8
85.5	181.7
79.5	179.2
66.5	179.3
72	178
74.8	180.1
64.6	170.6
73.3	172.3
80.1	179.4
78.7	177.9
87.1	186.7
72.8	185.2
72.1	181.5
66.3	179
77.7	171.7
74.4	174.4
75.5	171.5
80.2	180.7
79.8	182.8
84.1	180.5
70.1	170.8
75.8	180.9
73.7	177.5
90.2	189.2
68.8	175.1
68	174.2
71.2	187.2
79.5	179.3
78.3	174.5
73	182.5
64.4	174.1
72.6	170.4
79	186
76	175.5
68.2	173.3
69.5	173.4
73.4	179.8
85.2	184.2
71.1	181.8
78.2	180.3
67.9	177.6
76.7	186.7
70.9	175
78.4	180.8
86.2	184.9
66.6	170.6
80.9	176.9
71.1	171.2
73.4	177.4
80.3	178.2
86.4	188.3
85.3	187.8
88	189.7
69.8	179.5
79.1	183.9
78.9	178.5
91.9	185.7
81	186.9
73.3	173.7
80.9	180.6
80.5	184.1
84.2	188.3
78.1	175.2
78.3	185.9
72.4	182.3
72.9	184
69.2	172.2
65.8	176.7
67.4	176.5
72.5	181.3
66.8	174.1
78.6	174.4
80.8	182.7
81.6	177.1
87.1	187.1
78.8	189
85.7	187.8
75	170.9
74.9	185.4
71.7	174.6
67.6	176.3
74.2	175.7
86.7	184.3
80.6	187.2
61.6	172.1
79.6	181
72.6	183
76.3	174.7
68.2	171.5
81.5	188.5
66.1	172.9
80.5	186.4
74.2	178.3
81	182.3
68.6	171.4
83.2	188.1
